Loan #,Loan Type,Balance,Rate,Term,Asset,Asset Value
11180,Auto Loan,30863.41,0.0869,73,Car,20650
11181,Auto Loan,36181.11,0.0725,73,Car,31395
11182,Auto Loan,26908.25,0.049,73,Car,23033
11183,Auto Loan,29928.22,0.0499,73,Car,28178
11184,Auto Loan,25063.49,0.019,73,Car,25693
11185,Auto Loan,32069.38,0,61,Car,27848
11186,Auto Loan,32437.33,0.019,61,Car,32998
11187,Auto Loan,25747.19,0,49,Car,32519
11188,Auto Loan,32265.28,0.0535,76,Car,29368
11189,Auto Loan,39261.79,0.019,74,Car,26363
11190,Auto Loan,40178.22,0.036,77,Car,35398
11191,Auto Loan,11078.09,0.045,74,Car,17401
11192,Auto Loan,27302.22,0.0375,77,Car,42775
11193,Auto Loan,27088,0.095,74,Car,19710
11194,Auto Loan,28927,0.0825,74,Car,20707
11195,Auto Loan,39651.86,0.035,50,Car,35786
11196,Auto Loan,28504.77,0.0775,74,Car,31100
11197,Auto Loan,14924.38,0.035,37,Car,30485
11198,Auto Loan,25604.22,0.009,62,Car,31463
11199,Auto Loan,20999.45,0.045,76,Car,26609
11200,Auto Loan,29007.48,0.019,37,Car,45653
11201,Auto Loan,22160.2,0.019,61,Car,21180
11202,Auto Loan,29678.04,0.05,61,Car,23316
11203,Auto Loan,15405.81,0.029,73,Car,20012
11204,Auto Loan,33965.5,0.019,61,Car,38655
11205,Auto Loan,23604.19,0.0425,73,Car,30637
11206,Auto Loan,23992.99,0.035,61,Car,26673
11207,Auto Loan,22316.41,0.019,61,Car,31530
11208,Auto Loan,23742.56,0,61,Car,29356
11209,Auto Loan,17533.94,0.035,74,Car,29625
11210,Auto Loan,20932.68,0.019,61,Car,28673
11211,Auto Loan,25048.24,0.0755,68,Car,19710
11212,Auto Loan,41658.3,0.0625,73,Car,43650
11213,Auto Loan,19742.64,0.019,61,Car,29275
11214,Auto Loan,29173.9,0.05,61,Car,21873
11215,Auto Loan,23203.61,0.019,49,Car,33383
11216,Auto Loan,21743.69,0,61,Car,20648
11217,Auto Loan,21314.91,0.0525,76,Car,20038
11218,Auto Loan,23337.7,0.039,62,Car,21664
11219,Auto Loan,31058.4,0,61,Car,27434
11220,Auto Loan,23217.76,0.0255,61,Car,46421
11221,Auto Loan,32537.58,0.019,67,Car,39781
11222,Auto Loan,15722.34,0.025,61,Car,29668
11223,Auto Loan,41441.97,0.039,73,Car,33990
11224,Auto Loan,15098.4,0,50,Car,25857
11225,Auto Loan,32157.5,0.035,61,Car,25175
11226,Auto Loan,30345.3,0.019,62,Car,31604
11227,Auto Loan,18808.08,0.045,74,Car,24003
11228,Auto Loan,41990.06,0.019,67,Car,35065
11229,Auto Loan,23329,0.035,62,Car,32063
11230,Auto Loan,41766.2,0.019,62,Car,33042
11231,Auto Loan,31602.94,0.0325,74,Car,40977
11232,Auto Loan,30103.93,0.029,74,Car,24503
11233,Auto Loan,33269,0.0565,62,Car,32917
11234,Auto Loan,30417.18,0.0425,74,Car,21389
11235,Auto Loan,47666.43,0.0575,74,Car,38283
11236,Auto Loan,21224.49,0.039,73,Car,34752
11237,Auto Loan,25020.66,0.059,62,Car,27414
11238,Auto Loan,25000,0.029,62,Car,46855
11239,Auto Loan,37070.1,0.0225,68,Car,42542
11240,Auto Loan,24525.43,0.0705,67,Car,27284
11241,Auto Loan,31179.58,0.019,68,Car,34749
11242,Auto Loan,20267,0.0825,74,Car,17317
11243,Auto Loan,24149.47,0.086,73,Car,27944
11244,Auto Loan,27302.9,0.065,67,Car,24496
11245,Auto Loan,37306.49,0.045,74,Car,37196
11246,Auto Loan,28620.94,0.07,74,Car,25861
11247,Auto Loan,34860.94,0.019,61,Car,28881
11248,Auto Loan,40877.24,0.019,68,Car,46273
11249,Auto Loan,38904.4,0.0225,67,Car,43987
11250,Auto Loan,34148.28,0.029,74,Car,30338
11251,Auto Loan,41476.57,0.019,68,Car,48332
11252,Auto Loan,47944.46,0.019,67,Car,49271
11253,Auto Loan,39460.53,0.029,73,Car,29122
11254,Auto Loan,32892.17,0.0375,73,Car,30061
11255,Auto Loan,21981.22,0.0375,73,Car,22046
11256,Auto Loan,29794.25,0.0325,74,Car,28181
11257,Auto Loan,25321.94,0.019,61,Car,33895
11258,Auto Loan,32154,0,62,Car,31971
11259,Auto Loan,34529.24,0.019,62,Car,28833
11260,Auto Loan,33335.08,0.019,68,Car,37279
11261,Auto Loan,40618.7,0.0225,61,Car,48992
11262,Auto Loan,29825.16,0.025,73,Car,33064
11263,Auto Loan,35067.91,0.019,67,Car,35958
11264,Auto Loan,29025.43,0.059,73,Car,34614
11265,Auto Loan,18473.69,0.0625,73,Car,17075
11266,Auto Loan,28335,0.029,73,Car,20689
11267,Auto Loan,17021.89,0.059,73,Car,20360
11268,Auto Loan,21698.29,0.0595,74,Car,23174
11269,Auto Loan,25160.9,0.019,61,Car,26462
11270,Auto Loan,74070.01,0.057,74,Car,56304
11271,Auto Loan,21728.64,0.0325,74,Car,22606
11272,Auto Loan,29647.1,0.029,74,Car,33983
11273,Auto Loan,19757.9,0.045,73,Car,24439
11274,Auto Loan,28436.24,0.035,74,Car,30956
11275,Auto Loan,23940.98,0.009,67,Car,22492
11276,Auto Loan,33611.31,0.0175,49,Car,39612
11277,Auto Loan,20008.8,0,61,Car,27413
11278,Auto Loan,17076.6,0.0354,67,Car,20136
11279,Auto Loan,19372.58,0.0225,62,Car,24276
11280,Auto Loan,16886.69,0.019,62,Car,21326
11281,Auto Loan,31680,0,73,Car,32496
11282,Auto Loan,44079,0.069,73,Car,34834
11283,Auto Loan,17837.13,0.0505,74,Car,20156
11284,Auto Loan,34391.4,0.0325,61,Car,37500
11285,Auto Loan,20939.64,0.019,62,Car,30301
11286,Auto Loan,24392.3,0.019,61,Car,35543
11287,Auto Loan,9169.5,0.019,38,Car,30266
11288,Auto Loan,37700.21,0.0225,68,Car,37048
11289,Auto Loan,22940.9,0.059,74,Car,24047
11290,Auto Loan,13776,0.025,62,Car,30404
11291,Auto Loan,15152.92,0.0535,73,Car,20158
11292,Auto Loan,10186.77,0.0325,73,Car,28608
11293,Auto Loan,21650.88,0.035,61,Car,21747
11294,Auto Loan,22605.35,0.019,61,Car,28488
11295,Auto Loan,23797.35,0.071,61,Car,15550
11296,Auto Loan,26711.75,0.097,74,Car,23900
11297,Auto Loan,24208.74,0.019,61,Car,31914
11298,Auto Loan,37288.72,0.025,67,Car,43895
11299,Auto Loan,20658.01,0.0425,73,Car,23956
11300,Auto Loan,17328.75,0.045,73,Car,25764
11301,Auto Loan,43498,0.0395,74,Car,46875
11302,Auto Loan,42877.52,0.0325,73,Car,35089
11303,Auto Loan,19302,0.0545,61,Car,20775
11304,Auto Loan,27823.71,0.019,61,Car,30332
11305,Auto Loan,11763.99,0.025,50,Car,20113
11306,Auto Loan,44891.6,0.035,61,Car,42753
11307,Auto Loan,21815,0.029,62,Car,28160
11308,Auto Loan,39681.68,0.019,61,Car,43090
11309,Auto Loan,14999.3,0.0475,74,Car,24004
11310,Auto Loan,11417,0.019,38,Car,36659
11311,Auto Loan,30817.48,0.039,61,Car,31605
11312,Auto Loan,21656.04,0.009,62,Car,17195
11313,Auto Loan,42651.79,0.112,74,Car,39125
11314,Auto Loan,16403.55,0.045,74,Car,25332
11315,Auto Loan,14116.11,0.0455,62,Car,19175
11316,Auto Loan,21425.62,0.019,62,Car,29460
11317,Auto Loan,14028.36,0.023,62,Car,17661
11318,Auto Loan,28571.27,0.04,77,Car,29085
11319,Auto Loan,17696.08,0.009,62,Car,24994
11320,Auto Loan,24414.43,0.019,73,Car,20217
11321,Auto Loan,29381.08,0.0725,74,Car,24757
11322,Auto Loan,20285.2,0,61,Car,22610
11323,Auto Loan,30400,0.065,73,Car,23723
11324,Auto Loan,15838.74,0.009,61,Car,17495
11325,Auto Loan,22654.61,0.035,49,Car,22655
11326,Auto Loan,25285.81,0.035,61,Car,29013
11327,Auto Loan,29764.86,0.019,67,Car,37296
11328,Auto Loan,19442.88,0.019,61,Car,34635
11329,Auto Loan,25373.93,0.009,62,Car,38659
11330,Auto Loan,35070.6,0.065,73,Car,28794
11331,Auto Loan,32304.56,0.095,73,Car,38601
11332,Auto Loan,15430.42,0.0275,74,Car,22950
11333,Auto Loan,22625,0.0715,61,Car,16975
11334,Auto Loan,16756.56,0.0225,61,Car,20001
11335,Auto Loan,19176.52,0.025,61,Car,25329
11336,Auto Loan,29605.7,0.019,67,Car,34759
11337,Auto Loan,12908.89,0.009,61,Car,34875
11338,Auto Loan,33561.22,0.081,73,Car,28950
11339,Auto Loan,24482.18,0.025,49,Car,24866
11340,Auto Loan,36428.26,0.019,61,Car,40865
11341,Auto Loan,29146.7,0.025,61,Car,24121
11342,Auto Loan,13336.03,0.009,62,Car,17000
11343,Auto Loan,28817.9,0.029,61,Car,33877
11344,Auto Loan,22787.71,0.0325,73,Car,23065
11345,Auto Loan,40097.62,0.029,73,Car,46771
11346,Auto Loan,32666.88,0.035,73,Car,36276
11347,Auto Loan,24218,0.05,73,Car,24710
11348,Auto Loan,30580.73,0.0225,67,Car,34722
11349,Auto Loan,35607.41,0.0825,73,Car,31642
11350,Auto Loan,21371.21,0.009,67,Car,24860
11351,Auto Loan,18220.68,0,68,Car,19704
11352,Auto Loan,40487.49,0.0325,67,Car,35070
11353,Auto Loan,36740.16,0.029,73,Car,40544
11354,Auto Loan,40687.84,0.019,67,Car,49703
11355,Auto Loan,7994.73,0.029,62,Car,19738
11356,Auto Loan,18117.55,0.0615,74,Car,19858
11357,Auto Loan,19024.26,0.0305,73,Car,19911
11358,Auto Loan,26565.28,0.08,74,Car,22368
11359,Auto Loan,43115,0.08,73,Car,41584
11360,Auto Loan,43376.43,0.019,61,Car,40526
11361,Auto Loan,32137.47,0.0475,73,Car,29581
11362,Auto Loan,22380.7,0.039,73,Car,19975
11363,Auto Loan,29441.13,0,74,Car,28199
11364,Auto Loan,30310.75,0.019,61,Car,31291
11365,Auto Loan,32465.73,0.019,62,Car,42659
11366,Auto Loan,40000,0.019,62,Car,48126
11367,Auto Loan,30923.66,0.019,62,Car,33670
11368,Auto Loan,25661.92,0.019,62,Car,27343
11369,Auto Loan,36444.28,0.039,73,Car,37854
11370,Auto Loan,32276.73,0.049,74,Car,29295
11371,Auto Loan,26499.58,0.035,61,Car,21788
11372,Auto Loan,27959.4,0,62,Car,24636
11373,Auto Loan,21685.73,0.0275,62,Car,47030
11374,Auto Loan,11426.24,0.0525,73,Car,19025
11375,Auto Loan,25392.68,0.029,73,Car,20168
11376,Auto Loan,19877.85,0.045,77,Car,20220
11377,Auto Loan,23213.7,0.0575,74,Car,26649
11378,Auto Loan,22778.71,0.0535,61,Car,22121
11379,Auto Loan,55961.95,0.0499,61,Car,46635
11380,Auto Loan,25580.48,0.025,61,Car,24862
11381,Auto Loan,7952.96,0,49,Car,20393
11382,Auto Loan,14725.39,0.019,67,Car,20084
11383,Auto Loan,18374.44,0.035,73,Car,29726
11384,Auto Loan,37588.9,0.0755,73,Car,35371
11385,Auto Loan,20119,0.0483,77,Car,20647
11386,Auto Loan,34053.25,0.035,74,Car,21847
11387,Auto Loan,10956.36,0.04,37,Car,17386
11388,Auto Loan,9935.61,0.0655,50,Car,11000
11389,Auto Loan,14143.93,0.0299,61,Car,31589
11390,Auto Loan,25458.22,0.039,73,Car,20275
11391,Auto Loan,24169.69,0.029,61,Car,22799
11392,Auto Loan,27537.82,0,62,Car,23518
11393,Auto Loan,15238.3,0,49,Car,17359
11394,Auto Loan,24892.57,0.039,73,Car,20587
11395,Auto Loan,24812.07,0.029,61,Car,20394
11396,Auto Loan,16681.04,0.0325,62,Car,21627
11397,Auto Loan,26651.13,0,62,Car,24869
11398,Auto Loan,37218.16,0.0275,61,Car,37296
11399,Auto Loan,20657.36,0.0825,74,Car,16914
11400,Auto Loan,24349.81,0.0599,74,Car,27323
11401,Auto Loan,21500,0.086,68,Car,16873
11402,Auto Loan,30139.93,0.055,74,Car,25076
11403,Auto Loan,32894.44,0.019,73,Car,26114
11404,Auto Loan,22809.05,0.0525,77,Car,24886
11405,Auto Loan,13069.33,0.0255,50,Car,29497
11406,Auto Loan,16109,0.0695,74,Car,19093
11407,Auto Loan,20000,0,61,Car,20631
11408,Auto Loan,14478.64,0.029,74,Car,29968
11409,Auto Loan,61487.41,0.0515,77,Car,48691
11410,Auto Loan,20611.2,0,62,Car,24200
11411,Auto Loan,30550.32,0,73,Car,31881
11412,Auto Loan,24386.41,0.0629,77,Car,19524
11413,Auto Loan,36424.19,0.009,61,Car,37171
11414,Auto Loan,26621.5,0.019,61,Car,28882
11415,Auto Loan,25121.31,0.0425,61,Car,22762
11416,Auto Loan,31643.82,0.0805,74,Car,28125
11417,Auto Loan,31645.7,0.0565,74,Car,28875
11418,Auto Loan,24657.26,0.035,50,Car,40090
11419,Auto Loan,41118.69,0.025,73,Car,56138
11420,Auto Loan,22515.83,0.025,61,Car,37372
11421,Auto Loan,17000,0,49,Car,23709
11422,Auto Loan,40934.93,0,61,Car,54531
11423,Auto Loan,13853,0.0271,73,Car,26778
11424,Auto Loan,18947.24,0.0425,73,Car,22600
11425,Auto Loan,7458.87,0,25,Car,30123
11426,Auto Loan,18818.61,0.025,49,Car,32212
11427,Auto Loan,26708.5,0.0275,67,Car,50408
11428,Auto Loan,14678.94,0.019,61,Car,26746
11429,Auto Loan,18993.28,0.046,73,Car,31270
11430,Auto Loan,25681.44,0.025,61,Car,32542
11431,Auto Loan,30657.07,0.0825,74,Car,20887
11432,Auto Loan,18685.58,0.102,74,Car,16749
11433,Auto Loan,33252.81,0.019,62,Car,32940
11434,Auto Loan,23338.41,0.009,62,Car,21740
11435,Auto Loan,34686.54,0.019,62,Car,42498
11436,Auto Loan,25509.3,0.0825,73,Car,19929
11437,Auto Loan,24317.99,0.025,61,Car,43018
11438,Auto Loan,20084.7,0.019,67,Car,26422
11439,Auto Loan,41057.47,0.019,67,Car,32628
11440,Auto Loan,28884.55,0.0425,73,Car,23601
11441,Auto Loan,22293.52,0.009,61,Car,21804
11442,Auto Loan,10533.62,0.029,73,Car,17195
11443,Auto Loan,24378.29,0.019,61,Car,36260
11444,Auto Loan,24409,0.095,73,Car,20410
11445,Auto Loan,32524.5,0.019,73,Car,26352
11446,Auto Loan,29540.53,0.019,67,Car,23490
11447,Auto Loan,24348.87,0.0505,73,Car,21575
11448,Auto Loan,28123.76,0.019,61,Car,29187
11449,Auto Loan,40755.78,0.019,67,Car,43800
11450,Auto Loan,63732.32,0.019,74,Car,51981
11451,Auto Loan,40951.26,0.0575,73,Car,28495
11452,Auto Loan,24948.25,0.009,62,Car,25325
11453,Auto Loan,23885.99,0.009,67,Car,28310
11454,Auto Loan,25174.81,0.019,61,Car,40072
11455,Auto Loan,26584.64,0.0275,74,Car,32967
11456,Auto Loan,23450.62,0.019,73,Car,24445
11457,Auto Loan,47493.86,0.0225,68,Car,48059
11458,Auto Loan,23903.16,0.0725,73,Car,24361
11459,Auto Loan,20849.85,0.0725,73,Car,21546
11460,Auto Loan,45394.57,0.084,74,Car,47003
11461,Auto Loan,24573.34,0.0625,73,Car,26562
11462,Auto Loan,19692.87,0.035,74,Car,19677
11463,Auto Loan,36569.36,0.019,67,Car,43872
11464,Auto Loan,21835.3,0.0499,74,Car,19554
11465,Auto Loan,20961.14,0.0825,73,Car,20121
11466,Auto Loan,20565.95,0.0699,73,Car,24451
11467,Auto Loan,25299,0.0945,74,Car,26500
11468,Auto Loan,31966.34,0.0505,73,Car,32165
11469,Auto Loan,34098.69,0.0825,74,Car,31499
11470,Auto Loan,29262.99,0.087,73,Car,26029
11471,Auto Loan,27847.64,0.035,73,Car,27483
11472,Auto Loan,23821.64,0.009,61,Car,22864
11473,Auto Loan,19848,0.019,74,Car,17369
11474,Auto Loan,52541.22,0.009,50,Car,46788
11475,Auto Loan,32019.46,0.035,74,Car,30033
11476,Auto Loan,30510.31,0.035,74,Car,35118
11477,Auto Loan,24922.53,0.045,74,Car,27345
11478,Auto Loan,23629.94,0.079,73,Car,24094
11479,Auto Loan,18421.97,0.045,73,Car,20293
11480,Auto Loan,34242.48,0,74,Car,33778
11481,Auto Loan,22718.2,0.059,73,Car,25477
11482,Auto Loan,16645.33,0.035,61,Car,38081
11483,Auto Loan,16996.09,0.025,62,Car,28467
11484,Auto Loan,27860.26,0.0635,73,Car,29359
11485,Auto Loan,30000,0.019,62,Car,38208
11486,Auto Loan,22350.26,0.029,49,Car,26996
11487,Auto Loan,29242.38,0.019,61,Car,35294
11488,Auto Loan,37207.58,0.029,62,Car,33743
11489,Auto Loan,38165.73,0.039,73,Car,33886
11490,Auto Loan,34107.22,0.019,61,Car,32280
11491,Auto Loan,26056.57,0.0399,61,Car,46591
11492,Auto Loan,24000.15,0,49,Car,41253
11493,Auto Loan,27054.3,0.0875,62,Car,18275
11494,Auto Loan,16000,0,50,Car,30777
11495,Auto Loan,31032,0.0399,74,Car,48323
11496,Auto Loan,38020.1,0,50,Car,32753
11497,Auto Loan,36454.3,0.0575,73,Car,23316
11498,Auto Loan,7341.13,0.0405,38,Car,13550
11499,Auto Loan,29622.3,0.019,61,Car,41423
11500,Auto Loan,36018.04,0.0285,61,Car,41474
11501,Auto Loan,19330,0.045,73,Car,33298
11502,Auto Loan,12365.36,0.025,62,Car,28095
11503,Auto Loan,32236.41,0.009,62,Car,27476
11504,Auto Loan,52578.01,0.0375,77,Car,45625
11505,Auto Loan,24725.72,0.04,62,Car,28887
11506,Auto Loan,52763.13,0.069,74,Car,34246
11507,Auto Loan,30349.93,0.045,74,Car,25138
11508,Auto Loan,26025.98,0.065,74,Car,20690
11509,Auto Loan,49017.92,0.049,74,Car,32606
11510,Auto Loan,15747.38,0.019,67,Car,22381
11511,Auto Loan,33260.63,0.035,73,Car,26982
11512,Auto Loan,37269.94,0.0425,76,Car,39927
11513,Auto Loan,25163.78,0.025,62,Car,29247
11514,Auto Loan,25315.51,0.035,62,Car,40138
11515,Auto Loan,38278.22,0.056,77,Car,34877
11516,Auto Loan,25442.29,0.0375,62,Car,20953
11517,Auto Loan,31892.21,0.009,61,Car,29219
11518,Auto Loan,12621.3,0.019,61,Car,24765
11519,Auto Loan,35829.85,0.0425,61,Car,46293
11520,Auto Loan,24638,0.085,73,Car,20063
11521,Auto Loan,25645.39,0.079,73,Car,27869
11522,Auto Loan,12823.41,0.029,73,Car,19991
11523,Auto Loan,57642.27,0.019,61,Car,48344
11524,Auto Loan,33535.81,0.0554,73,Car,27223
11525,Auto Loan,17807.42,0.0755,74,Car,18275
11526,Auto Loan,20714.34,0.0325,76,Car,20294
11527,Auto Loan,18878.43,0.0565,61,Car,14525
11528,Auto Loan,32051,0.064,73,Car,25050
11529,Auto Loan,60552.5,0.045,73,Car,42765
11530,Auto Loan,26508.45,0.045,74,Car,22265
11531,Auto Loan,49072.94,0.035,74,Car,38841
11532,Auto Loan,28499.19,0.019,61,Car,37748
11533,Auto Loan,16320.25,0.0375,68,Car,19897
11534,Auto Loan,17703.16,0.035,50,Car,22775
11535,Auto Loan,27003.75,0.025,62,Car,26173
11536,Auto Loan,35600.81,0.035,74,Car,28748
11537,Auto Loan,28109,0.035,74,Car,22796
11538,Auto Loan,39110.16,0.019,62,Car,36717
11539,Auto Loan,23882.44,0.039,74,Car,20050
11540,Auto Loan,22439.75,0.029,61,Car,36542
11541,Auto Loan,15896.82,0.019,61,Car,25981
11542,Auto Loan,23210,0.049,73,Car,26575
11543,Auto Loan,38789,0.085,74,Car,29999
11544,Auto Loan,37394.48,0.035,73,Car,29153
11545,Auto Loan,30417.09,0.0725,73,Car,19988
11546,Auto Loan,26115.23,0.095,73,Car,21939
11547,Auto Loan,33234.23,0.045,73,Car,23088
11548,Auto Loan,31275.39,0.0399,73,Car,41900
11549,Auto Loan,16965.51,0.0555,73,Car,25175
11550,Auto Loan,28683.83,0.0825,73,Car,24960
11551,Auto Loan,19130,0.009,68,Car,22396
11552,Auto Loan,33530.22,0.0825,73,Car,28605
11553,Auto Loan,38721.37,0.065,73,Car,33652
11554,Auto Loan,26885.86,0.085,74,Car,26353
11555,Auto Loan,9476.49,0.019,37,Car,31722
11556,Auto Loan,27834.59,0,49,Car,35517
11557,Auto Loan,16300.74,0.0225,61,Car,20165
11558,Auto Loan,16532.18,0.025,61,Car,26896
11559,Auto Loan,31825.93,0.0625,73,Car,24303
11560,Auto Loan,29740.79,0.0805,73,Car,26050
11561,Auto Loan,31861.66,0,61,Car,38561
11562,Auto Loan,36327.79,0.019,73,Car,33150
11563,Auto Loan,24146.95,0.029,62,Car,37873
11564,Auto Loan,29568,0,61,Car,30492
11565,Auto Loan,21987.37,0.0225,62,Car,26628
11566,Auto Loan,20438.11,0.025,61,Car,36702
11567,Auto Loan,24098.65,0.029,50,Car,35457
11568,Auto Loan,33203.4,0,62,Car,26344
11569,Auto Loan,41153.61,0.0525,74,Car,31950
11570,Auto Loan,22972.2,0.009,67,Car,28431
11571,Auto Loan,21673,0.0325,68,Car,22768
11572,Auto Loan,25028.79,0.029,73,Car,23331
11573,Auto Loan,35187.19,0.009,49,Car,45857
11574,Auto Loan,32129.58,0.045,74,Car,34548
11575,Auto Loan,25439.52,0.045,74,Car,28119
11576,Auto Loan,28350,0,73,Car,31048
11577,Auto Loan,30372.48,0,73,Car,33320
11578,Auto Loan,13989.6,0,61,Car,19918
11579,Auto Loan,36445.96,0,74,Car,37753
11580,Auto Loan,32377.4,0.035,74,Car,36068
11581,Auto Loan,24239.56,0,73,Car,26917
11582,Auto Loan,25160.71,0.025,61,Car,36981
11583,Auto Loan,47111.23,0.009,50,Car,46498
11584,Auto Loan,32897.86,0.059,74,Car,37858
11585,Auto Loan,22912.8,0,61,Car,22019
11586,Auto Loan,29539.44,0,74,Car,26057
11587,Auto Loan,40601,0.019,62,Car,43137
11588,Auto Loan,40443.84,0,74,Car,37930
11589,Auto Loan,10141,0.019,62,Car,28384
11590,Auto Loan,32309.36,0.009,67,Car,29952
11591,Auto Loan,24214.32,0,74,Car,27430
11592,Auto Loan,50800,0.019,68,Car,48322
11593,Auto Loan,21711.85,0.009,50,Car,24214
11594,Auto Loan,32986.93,0.039,73,Car,30574
11595,Auto Loan,36793,0.039,74,Car,39535
11596,Auto Loan,32918.68,0.039,73,Car,33741
11597,Auto Loan,48287,0.029,73,Car,35264
11598,Auto Loan,15657,0.0575,73,Car,18615
11599,Auto Loan,17410.64,0.0175,49,Car,31042
11600,Auto Loan,33471.6,0.0315,61,Car,32264
11601,Auto Loan,32702.7,0.019,73,Car,29868
11602,Auto Loan,20177.18,0.039,73,Car,21163
11603,Auto Loan,17673,0.039,67,Car,20625
11604,Auto Loan,34296.37,0.049,77,Car,35688
11605,Auto Loan,11536.89,0,61,Car,22106
11606,Auto Loan,31764.93,0.0375,62,Car,46761
11607,Auto Loan,27626.95,0.0275,62,Car,26510
11608,Auto Loan,35055.83,0.019,62,Car,46669
11609,Auto Loan,35000,0.019,62,Car,40441
11610,Auto Loan,22659.93,0.0489,74,Car,24335
11611,Auto Loan,17628.5,0.025,62,Car,27188
11612,Auto Loan,30678.48,0.0325,74,Car,38212
11613,Auto Loan,21886.31,0.0299,62,Car,30393
11614,Auto Loan,22264.6,0.019,62,Car,29574
11615,Auto Loan,31159.69,0.0795,73,Car,34495
11616,Auto Loan,7500.38,0.025,61,Car,31810
11617,Auto Loan,19072.32,0,49,Car,27971
11618,Auto Loan,17743.2,0,49,Car,32081
11619,Auto Loan,30534.71,0.019,61,Car,28894
11620,Auto Loan,19564.64,0.009,61,Car,22751
11621,Auto Loan,28825.28,0,49,Car,26302
11622,Auto Loan,21483.58,0.029,73,Car,31249
11623,Auto Loan,10428.67,0.025,37,Car,28725
11624,Auto Loan,58425.17,0.019,61,Car,48157
11625,Auto Loan,22157.29,0.029,61,Car,46271
11626,Auto Loan,34639.5,0.009,61,Car,31968
11627,Auto Loan,22720.88,0.035,61,Car,36864
11628,Auto Loan,24330.49,0.039,73,Car,20214
11629,Auto Loan,27190.49,0,61,Car,26840
11630,Auto Loan,60507.86,0.063,74,Car,48350
11631,Auto Loan,30417,0.009,61,Car,42565
11632,Auto Loan,26818.68,0.009,61,Car,26964
11633,Auto Loan,28999.99,0.116,74,Car,19925
11634,Auto Loan,22997.66,0.049,73,Car,23339
11635,Auto Loan,35438.95,0.0575,74,Car,28188
11636,Auto Loan,26827.24,0.0825,73,Car,20184
11637,Auto Loan,16084.8,0,61,Car,20618
11638,Auto Loan,44813.56,0.009,61,Car,46130
11639,Auto Loan,24175.3,0.049,74,Car,28738
11640,Auto Loan,38914.65,0.0325,62,Car,38144
11641,Auto Loan,18581.71,0.029,74,Car,27673
11642,Auto Loan,45663.89,0.0425,74,Car,34587
11643,Auto Loan,19501.76,0.0375,62,Car,27636
11644,Auto Loan,24650.67,0.055,74,Car,26517
11645,Auto Loan,23203,0.0325,62,Car,24634
11646,Auto Loan,39322.4,0.055,74,Car,31710
11647,Auto Loan,35530.84,0.0425,62,Car,28625
11648,Auto Loan,28130.4,0,62,Car,25778
11649,Auto Loan,14417.54,0.0375,60,Car,21023
11650,Auto Loan,25755,0.0325,67,Car,32208
11651,Auto Loan,20204.03,0.0885,73,Car,20486
11652,Auto Loan,24633,0.087,73,Car,21296
11653,Auto Loan,21425.24,0.086,73,Car,20246
11654,Auto Loan,16502.01,0.025,73,Car,20800
11655,Auto Loan,17487.92,0.0705,73,Car,16455
11656,Auto Loan,25806.5,0.019,74,Car,26450
11657,Auto Loan,27995.35,0.095,73,Car,23992
11658,Auto Loan,37583,0.045,74,Car,32208
11659,Auto Loan,19714,0.0605,73,Car,17484
11660,Auto Loan,26195.2,0.085,73,Car,25109
11661,Auto Loan,20449.76,0.0225,37,Car,22522
11662,Auto Loan,25126.66,0.0325,73,Car,24787
11663,Auto Loan,38639.44,0.0325,61,Car,46273
11664,Auto Loan,38029.88,0.0825,73,Car,35084
11665,Auto Loan,22403.74,0.085,74,Car,19662
11666,Auto Loan,33922.42,0,62,Car,26377
11667,Auto Loan,10861.9,0.0225,62,Car,25479
11668,Auto Loan,22631.14,0,62,Car,25947
11669,Auto Loan,31100,0.045,77,Car,28445
11670,Auto Loan,30500.64,0,74,Car,25985
11671,Auto Loan,28017.99,0.029,74,Car,28637
11672,Auto Loan,27211.31,0.049,74,Car,33387
11673,Auto Loan,27880,0.019,62,Car,46231
11674,Auto Loan,15000,0.0225,62,Car,42006
11675,Auto Loan,19395.33,0.035,62,Car,27225
11676,Auto Loan,12791.01,0.0312,62,Car,21879
11677,Auto Loan,40422.24,0,74,Car,36642
11678,Auto Loan,38000.01,0.019,61,Car,42658
11679,Auto Loan,31166.65,0.019,61,Car,41975
11680,Auto Loan,29939.54,0.029,73,Car,31053
11681,Auto Loan,26211.09,0.039,73,Car,28453
11682,Auto Loan,29806.3,0.0599,73,Car,21044
11683,Auto Loan,44138.62,0.019,67,Car,37621
11684,Auto Loan,47421.5,0.0325,67,Car,46498
11685,Auto Loan,34124.35,0,74,Car,24645
11686,Auto Loan,29420.1,0.039,74,Car,27413
11687,Auto Loan,30204.9,0,68,Car,28587
11688,Auto Loan,43314.95,0.039,73,Car,38288
11689,Auto Loan,25499.03,0.009,67,Car,25630
11690,Auto Loan,45896.77,0.019,61,Car,55524
11691,Auto Loan,28866.91,0.039,74,Car,18675
11692,Auto Loan,19424,0.035,49,Car,35551
11693,Auto Loan,18667.69,0.035,74,Car,29402
11694,Auto Loan,17364.32,0.035,49,Car,21723
11695,Auto Loan,49113.16,0.03,61,Car,46855
11696,Auto Loan,29244.94,0.045,73,Car,43080
11697,Auto Loan,12129.51,0.035,74,Car,36837
11698,Auto Loan,18716.11,0.009,62,Car,22493
11699,Auto Loan,27130.34,0.052,74,Car,21800
